dmft-010    1 1        1             -18.7598       0.993881      0.036254 
dmft-010    1 1        1             -18.5803       0.961634     0.0544067 
dmft-010    1 1        1             -18.4008       0.992252     0.0513477 
dmft-010    1 1        1             -18.2212        0.98039     0.0575978 
dmft-010    1 1        1             -18.0417       0.924818     0.0381999 
dmft-010    1 1        1             -17.8622       0.993718     0.0507233 
dmft-010    1 1        1             -17.6827       0.945893      0.034066 
dmft-010    1 1        1             -17.5032       0.958393     0.0645583 
dmft-010    1 1        1             -17.3236       0.988101     0.0449487 
dmft-010    1 1        1             -17.1441        0.94531     0.0361825 
dmft-010    1 1        1             -16.9646       0.974137     0.0565216 
dmft-010    1 1        1             -16.7851        1.01187     0.0874578 
dmft-010    1 1        1             -16.6056        1.01223     0.0525934 
dmft-010    1 1        1              -16.426       0.979976    0.00782944 
dmft-010    1 1        1             -16.2465        1.00404     0.0533877 
dmft-010    1 1        1              -16.067        1.00727      0.055798 
dmft-010    1 1        1             -15.8875        1.00136     0.0269292 
dmft-010    1 1        1              -15.708        1.00787    0.00974466 
dmft-010    1 1        1             -15.5284        1.00129     0.0121695 
dmft-010    1 1        1             -15.3489        1.00499     0.0530248 
dmft-010    1 1        1             -15.1694       0.990314     0.0569674 
dmft-010    1 1        1             -14.9899       0.991045     0.0938366 
dmft-010    1 1        1             -14.8104        1.00295      0.102216 
dmft-010    1 1        1             -14.6308        1.02431     0.0812224 
dmft-010    1 1        1             -14.4513       0.990103     0.0875004 
dmft-010    1 1        1             -14.2718        1.00052     0.0601654 
dmft-010    1 1        1             -14.0923       0.986859     0.0687624 
dmft-010    1 1        1             -13.9128        1.00992     0.0679908 
dmft-010    1 1        1             -13.7332       0.997819     0.0892123 
dmft-010    1 1        1             -13.5537        0.97794     0.0637192 
dmft-010    1 1        1             -13.3742       0.987884     0.0736755 
dmft-010    1 1        1             -13.1947       0.980027     0.0890984 
dmft-010    1 1        1             -13.0152       0.975864     0.0512943 
dmft-010    1 1        1             -12.8356       0.982469     0.0501067 
dmft-010    1 1        1             -12.6561        1.01118     0.0568637 
dmft-010    1 1        1             -12.4766        1.00116     0.0784686 
dmft-010    1 1        1             -12.2971       0.969525     0.0687534 
